month,housing_observation_kind,moscow_secondary_rub_m2,spb_secondary_rub_m2,moscow_primary_rub_m2,spb_primary_rub_m2,new_york_housing_index,london_housing_gbp,paris_secondary_eur_m2,vienna_housing_index,hong_kong_housing_index,usd_rub,eur_rub,gbp_rub,jpy_rub,hkd_rub,sp500_close,imoex_close,nasdaq100_close,russell2000_close,dowjones_close,rtsi_close,dax_price_close,nikkei225_close,gold_usd_oz
2016-12,reported,180936.97,89733.28,155032.99,96854.57,257.65,506000.0,8330.0,219.4,307.4,60.6569,63.8111,74.5595,0.518324,7.805544,2238.830078,2232.72,4863.620117,1357.130005,19762.599609,1152.33,5588.27002,19114.369141,1145.9
2017-01,interpolated,180429.38,89508.3,155365.02,96985.27,258.623333,509000.0,8373.33,219.6,309.7,60.1618,64.4333,75.473,0.523647,7.722482,2278.870117,2217.39,5116.77002,1361.819946,19864.089844,1151.05,5614.299805,19041.339844,1212.8
2017-02,interpolated,179921.78,89283.32,155697.04,97115.97,259.596667,510000.0,8416.67,219.8,314.0,57.9371,61.2569,71.8652,0.515822,7.447466,2363.639893,2035.77,5330.310059,1386.680054,20812.240234,1099.46,5740.600098,19118.990234,1255.6
2017-03,reported,179414.19,89058.34,156029.07,97246.67,260.57,509000.0,8460.0,220.0,321.2,56.3779,60.595,70.0101,0.507292,7.294099,2362.719971,1995.9,5436.22998,1385.920044,20663.220703,1113.76,5953.439941,18909.259766,1244.85
2017-04,interpolated,178143.91,88765.63,156524.85,97441.79,261.656667,514000.0,8533.33,220.033333,330.0,56.9838,62.044,73.6231,0.511823,7.298951,2384.199951,2016.71,5583.529785,1400.430054,20940.509766,1114.43,6004.370117,19196.740234,1266.45
2017-05,interpolated,176873.63,88472.93,157020.63,97636.91,262.743333,515000.0,8606.67,220.066667,333.6,56.5168,62.9484,72.6636,0.509229,7.200604,2411.800049,1900.38,5788.799805,1370.209961,21008.650391,1053.3,5990.580078,19650.570312,1266.2
2017-06,reported,175603.35,88180.22,157516.41,97832.03,263.83,514000.0,8680.0,220.1,336.1,59.0855,67.4993,76.7343,0.524855,7.578401,2423.409912,1879.5,5646.919922,1415.359985,21349.630859,1000.96,5841.439941,20033.429688,1242.25
2017-07,interpolated,174823.01,87318.98,156278.96,98203.78,266.233333,523000.0,8766.67,220.6,337.5,59.5436,69.6779,77.8771,0.535488,7.606924,2470.300049,1919.53,5880.330078,1425.140015,21891.119141,1007.14,5743.399902,19925.179688,1267.55
2017-08,interpolated,174042.66,86457.75,155041.5,98575.54,268.636667,521000.0,8853.33,221.1,339.7,58.7306,70.2007,75.8682,0.534133,7.587132,2471.649902,2022.22,5988.600098,1405.280029,21948.099609,1095.84,5713.819824,19646.240234,1311.75
2017-09,reported,173262.32,85596.51,153804.05,98947.29,271.04,518000.0,8940.0,221.6,340.8,58.0169,68.4483,77.8529,0.516096,7.422767,2519.360107,2077.19,5979.299805,1490.859985,22405.089844,1136.75,6080.189941,20356.279297,1283.1
2017-10,interpolated,173379.97,86634.72,153710.47,99746.32,270.1,516000.0,8976.67,221.1,344.2,57.8716,67.2179,76.1822,0.509052,7.405381,2575.26001,2064.31,6248.560059,1502.530029,23377.240234,1113.41,6270.100098,22011.609375,1270.15
2017-11,interpolated,173497.61,87672.93,153616.89,100545.36,269.16,510000.0,9013.33,220.6,347.2,58.3311,69.204,78.2745,0.523525,7.479573,2647.580078,2100.62,6365.560059,1544.140015,24272.349609,1131.56,6172.660156,22724.960938,1280.2
2017-12,reported,173615.26,88711.14,153523.31,101344.39,268.22,510000.0,9050.0,220.1,352.7,57.6002,68.8668,77.6739,0.511479,7.348143,2673.610107,2109.74,6396.419922,1535.51001,24719.220703,1154.43,6122.259766,22764.939453,1291.0
2018-01,interpolated,171894.77,88660.69,156949.29,103086.44,270.713333,514000.0,9063.33,222.633333,358.4,56.2914,69.5424,78.8417,0.517551,7.138924,2823.810059,2289.99,6949.990234,1574.97998,26149.390625,1282.36,6250.680176,23098.289062,1345.05
2018-02,interpolated,170174.28,88610.23,160375.28,104828.5,273.206667,512000.0,9076.67,225.166667,364.5,55.6717,68.6599,77.8624,0.51998,7.182374,2713.830078,2296.8,6854.419922,1512.449951,25029.199219,1285.47,5875.600098,22068.240234,1317.85
2018-03,reported,168453.79,88559.78,163801.26,106570.55,275.7,506000.0,9090.0,227.7,370.0,57.2649,70.5618,80.4915,0.539294,7.297282,2640.870117,2270.98,6581.129883,1529.430054,24103.109375,1249.41,5715.450195,21454.300781,1323.85
2018-04,interpolated,169184.31,89085.2,165974.95,106630.42,276.516667,511000.0,9163.33,228.266667,377.0,61.9997,75.2056,85.4852,0.56857,7.932996,2648.050049,2307.02,6605.569824,1541.880005,24163.150391,1153.96,5916.240234,22467.869141,1313.2
2018-05,interpolated,169914.82,89610.63,168148.64,106690.29,277.333333,512000.0,9236.67,228.833333,383.4,62.5937,72.5211,83.0556,0.576077,7.898353,2705.27002,2302.88,6967.72998,1633.609985,24415.839844,1162.98,5804.97998,22201.820312,1305.35
